Clean,PIM046,PIM053,PIM056,PIM068,PIM077,PIM091,PIM137,PIM172,PIM163,PIM164,PIM190,PIM231,PIM242,PIM269,PIM254,PIM311,PIM262,PIM284,PIM300,PIM328,PIM387,PIM402,PIM407,PIM388,PIM393,PIM404,PIM010,PIM014,PIM024,PIM051,PIM025,PIM038,PIM040
SITAGLIPTIN_Broad,-0.07,-0.05,0.01,-0.07,-0.17,-0.03,-0.02,0.00,-0.04,0.00,-0.02,0.01,-0.09,-0.15,-0.08,-0.07,-0.06,-0.08,-0.02,-0.01,0.01,-0.01,-0.04,0.11,0.01,-0.02,0.02,-0.03,-0.06,-0.10,-0.06,-0.05,0.00
CIMETIDINE_Broad,-0.08,-0.03,-0.02,-0.11,-0.18,-0.04,0.03,-0.04,-0.02,0.00,0.02,0.03,-0.06,-0.09,-0.03,-0.07,-0.07,-0.04,-0.04,-0.03,-0.04,0.00,-0.03,-0.01,0.00,-0.03,-0.02,0.00,-0.07,-0.07,-0.02,-0.04,-0.01
BIRINAPANT_Broad,0.37,0.07,0.97,0.64,-0.01,0.05,0.33,0.63,0.34,0.15,0.16,0.19,0.39,0.02,0.17,-0.02,0.58,0.86,0.36,0.46,0.22,0.18,0.21,0.11,0.15,0.00,0.11,0.21,0.61,0.92,0.41,0.43,0.08
NARCICLASINE_Broad,0.68,0.84,0.80,0.86,0.91,0.47,0.82,0.92,0.85,0.81,0.45,0.61,0.96,0.89,0.71,0.75,0.81,0.18,0.86,0.92,0.89,0.80,0.75,0.92,0.92,0.88,0.72,0.93,0.96,0.88,0.83,0.90,0.56
PDMP_Broad,-0.06,-0.03,0.02,-0.02,-0.04,-0.04,0.05,0.04,-0.03,0.04,-0.10,-0.02,-0.06,-0.11,-0.07,-0.04,0.01,0.03,-0.10,-0.02,-0.01,-0.04,-0.04,0.04,-0.04,-0.10,0.03,-0.01,-0.07,-0.01,0.01,-0.04,-0.02
BORTEZOMIB_Broad,0.89,0.97,0.99,0.98,0.96,0.72,0.96,0.98,0.96,1.00,0.67,0.84,0.98,0.97,0.90,0.87,0.96,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.97,0.89,0.95,0.97,0.97,0.93,0.98,0.98,0.86
HOMOHARRINGTONINE_Broad,0.72,0.78,0.94,0.78,0.89,0.50,0.88,0.95,0.65,0.65,0.48,0.63,0.95,0.95,0.82,0.84,0.71,0.39,0.80,0.91,0.84,0.73,0.68,0.95,0.89,0.85,0.73,0.97,0.95,0.87,0.71,0.81,0.62
CAY10603_Broad,0.17,0.20,0.43,0.46,0.42,0.11,0.42,0.47,0.52,0.43,0.19,0.26,0.41,0.29,0.22,0.35,0.05,-0.16,0.32,0.50,0.36,0.50,0.48,0.58,0.36,0.29,0.38,-0.30,-0.68,0.26,0.15,0.35,0.47
AZD7545_Broad,-0.03,0.00,0.03,-0.01,-0.17,-0.01,0.11,0.17,0.01,0.05,0.04,0.01,-0.05,-0.06,0.02,0.05,-0.03,-0.01,0.06,0.07,0.06,0.03,0.01,-0.06,0.06,0.00,0.03,0.05,-0.07,-0.02,0.04,0.03,0.02
BRD4770_Broad,-0.05,0.03,0.04,-0.02,-0.13,0.02,0.02,0.06,-0.01,0.02,0.04,-0.01,-0.03,-0.08,0.00,-0.03,-0.08,0.01,-0.03,0.06,0.03,0.03,-0.02,0.06,0.03,0.00,-0.01,0.02,-0.06,-0.05,-0.01,0.03,0.02
ML162_Broad,0.59,0.29,0.44,0.73,0.82,0.20,0.83,0.70,0.44,0.43,0.30,0.15,0.02,-0.04,0.10,0.35,0.74,0.34,0.60,0.84,0.49,0.78,0.89,0.65,0.38,0.62,0.34,0.59,0.39,0.55,0.74,0.94,0.47
OLIGOMYCINA_Broad,0.35,0.66,0.52,0.28,-0.09,0.73,0.57,0.62,0.38,0.64,0.15,0.38,0.42,0.15,0.19,0.63,0.53,0.35,0.43,0.41,0.27,0.36,0.25,0.75,0.74,0.77,0.13,0.76,0.47,0.69,0.37,0.33,0.60
NECROSULFONAMIDE_Broad,0.12,0.05,0.33,0.19,0.18,-0.02,0.18,0.08,0.18,0.24,0.12,0.14,0.01,-0.01,0.00,0.12,0.16,0.15,0.14,0.20,-0.02,0.10,0.07,0.32,0.19,0.21,0.09,0.11,0.18,0.03,0.21,0.31,0.10
CYTOCHALASINB_Broad,0.02,-0.06,0.14,0.14,-0.10,0.02,0.23,0.08,0.17,0.17,0.05,0.02,0.05,0.08,0.02,0.05,-0.10,-0.18,0.11,0.19,0.07,0.17,0.05,0.08,0.04,0.03,0.25,0.04,0.15,0.21,0.17,0.14,0.03
NERATINIB_Broad,0.33,0.07,0.25,0.18,-0.29,-0.01,0.07,0.22,0.09,0.01,0.00,0.09,0.14,0.06,0.10,0.23,-0.21,-0.04,-0.03,0.11,0.09,0.06,-0.01,0.14,0.22,0.27,0.06,-0.01,-0.36,0.01,-0.02,-0.03,0.22
C6CERAMIDE_Broad,-0.05,-0.03,0.05,0.04,-0.07,-0.02,-0.03,0.02,0.02,0.01,0.01,0.04,-0.02,-0.09,0.00,-0.05,-0.07,0.04,0.01,0.00,-0.02,0.01,-0.04,0.03,0.00,-0.04,-0.02,0.01,-0.11,-0.07,-0.02,-0.03,-0.02
SILDENAFIL_Broad,-0.02,-0.03,0.10,-0.02,-0.21,0.00,0.09,0.06,-0.04,0.06,-0.04,0.04,-0.01,-0.05,-0.01,0.00,-0.04,-0.02,-0.04,0.00,-0.01,0.01,0.00,0.05,-0.03,-0.03,0.01,0.02,-0.04,-0.01,0.05,0.02,0.06
THALIDOMIDE_Broad,0.04,0.01,0.04,0.01,0.08,0.02,0.01,0.04,0.02,0.06,-0.01,-0.01,0.02,0.02,0.04,0.07,-0.06,0.04,0.01,0.07,0.09,0.07,0.06,0.05,-0.04,0.02,0.01,0.04,0.03,0.04,0.01,0.01,0.04
16BETABROMOANDROSTERONE_Broad,0.06,-0.05,0.05,-0.02,0.19,-0.05,0.02,-0.01,-0.01,-0.01,0.03,0.00,-0.06,-0.09,-0.02,-0.05,-0.02,0.12,0.05,0.18,-0.01,0.03,-0.04,0.10,0.02,0.02,0.00,0.05,-0.01,-0.02,-0.03,0.00,0.00
METHOTREXATE_Broad,-0.01,-0.04,0.04,-0.01,-0.03,-0.02,-0.01,0.07,-0.05,0.03,-0.05,-0.07,0.02,0.02,-0.03,0.00,-0.06,0.03,-0.11,0.04,0.01,-0.02,0.01,0.04,-0.07,-0.05,-0.06,-0.04,-0.08,-0.01,-0.02,-0.02,0.00
CARBOPLATIN_Broad,0.01,-0.02,0.03,0.00,-0.12,0.01,-0.02,0.00,-0.06,0.05,-0.07,-0.03,0.04,-0.02,-0.03,0.00,-0.07,-0.03,-0.11,-0.02,-0.01,-0.03,0.01,-0.02,-0.08,-0.05,0.00,-0.02,-0.03,-0.04,-0.02,0.02,-0.06
DECITABINE_Broad,0.06,-0.03,0.03,0.03,-0.04,0.01,0.09,0.04,0.05,0.13,0.00,0.02,0.08,0.09,0.00,0.10,0.00,0.04,-0.04,0.20,0.07,0.05,0.07,0.05,-0.10,0.03,0.05,0.03,-0.01,0.07,0.04,0.01,0.02
17AAG_Broad,0.37,0.57,0.71,0.31,-0.36,0.11,0.46,0.51,0.29,0.36,0.42,0.65,0.53,0.39,0.25,0.34,0.18,-0.12,0.25,0.68,0.38,0.17,0.11,0.30,0.05,0.48,0.20,0.14,0.36,0.20,0.47,0.48,-0.04
TIVOZANIB_Broad,0.05,0.02,0.09,0.04,0.11,-0.01,0.18,0.08,-0.01,0.07,-0.02,-0.04,0.01,-0.01,0.02,0.06,-0.10,0.03,0.05,0.08,0.06,0.01,0.02,0.06,-0.06,0.01,-0.01,0.02,-0.14,0.06,0.01,0.03,-0.04
SIMVASTATIN_Broad,0.21,0.10,0.13,0.39,0.38,0.03,0.54,0.61,0.27,0.32,0.14,0.31,0.37,0.15,0.28,0.38,0.44,0.31,0.32,0.38,0.13,0.02,-0.01,0.28,0.12,0.07,0.14,0.38,0.46,0.74,0.09,0.20,0.14
BAXCHANNELBLOCKER_Broad,0.32,0.30,0.30,0.26,0.40,0.29,0.35,0.32,0.30,0.31,0.38,0.22,0.37,0.23,0.33,0.30,0.46,0.53,0.21,0.34,0.32,0.29,0.25,0.35,0.37,0.25,0.31,0.30,0.32,0.40,0.27,0.27,0.22
PIFITHRINALPHA_Broad,0.02,0.02,0.04,-0.02,-0.07,0.02,0.05,0.04,0.08,0.05,0.01,-0.02,0.11,0.06,0.02,0.12,-0.04,0.23,-0.03,0.04,0.03,0.00,-0.05,0.11,0.03,0.01,0.00,0.00,0.04,0.11,0.02,0.03,0.00
CLOFARABINE_Broad,0.11,0.01,0.55,0.34,-0.08,0.08,0.12,0.20,0.19,0.37,0.14,0.32,0.45,0.23,0.18,0.39,-0.11,-0.05,0.10,0.27,0.21,0.28,0.28,0.31,0.06,0.09,0.14,0.31,0.74,0.74,0.05,0.11,0.00
OSI930_Broad,0.04,0.05,0.00,0.01,0.06,0.01,0.06,0.03,0.04,0.04,-0.04,-0.02,0.07,0.01,0.01,0.04,0.13,0.21,0.07,0.17,0.05,0.07,0.01,0.12,0.01,0.00,-0.02,0.06,0.05,0.22,0.02,0.04,0.03
RITA_Broad,0.08,0.04,0.12,0.19,0.06,0.04,0.15,0.14,0.11,0.08,0.10,0.07,-0.01,0.03,0.12,0.12,0.06,0.18,0.10,0.25,0.06,0.19,0.08,0.23,0.16,0.21,0.04,0.02,0.11,0.09,0.11,0.19,0.14
NICLOSAMIDE_Broad,0.07,-0.01,0.04,0.03,0.14,0.01,0.08,0.13,0.06,0.05,-0.04,0.03,0.02,0.05,0.07,0.12,0.13,0.14,0.03,0.05,0.01,0.00,0.03,0.04,-0.03,-0.01,0.00,0.01,-0.01,0.10,0.00,0.03,0.06
NSC19630_Broad,0.06,0.03,0.03,-0.01,0.03,-0.04,0.11,0.04,0.03,0.09,0.02,0.09,-0.01,0.03,0.07,0.13,0.07,0.20,0.05,0.19,0.01,0.17,0.07,0.33,-0.07,0.09,0.01,0.25,0.01,0.03,0.15,0.30,0.15
GOSSYPOL_Broad,0.12,0.11,0.13,0.13,0.14,0.02,0.12,0.08,0.10,0.20,-0.04,0.09,0.22,0.07,0.10,0.22,0.12,0.17,0.05,0.07,0.13,0.20,0.13,0.01,-0.07,-0.01,0.16,0.13,0.09,0.23,0.01,0.15,0.13
TPCA1_Broad,0.02,0.03,-0.03,0.00,-0.04,-0.04,-0.14,0.00,-0.08,0.06,0.08,0.14,0.06,0.07,0.08,0.10,-0.10,-0.13,0.12,0.12,0.28,0.14,0.14,0.04,-0.01,0.07,0.06,-0.01,-0.15,0.48,-0.01,0.03,0.10
VORINOSTAT_Broad,0.20,0.24,0.26,0.51,0.44,0.14,0.46,0.58,0.48,0.44,0.14,0.32,0.48,0.45,0.23,0.40,-0.06,-0.51,0.16,0.39,0.20,0.32,0.33,0.33,0.26,0.33,0.37,0.01,-0.87,0.30,0.11,0.21,0.50
FLUOROURACIL_Broad,0.02,-0.02,0.00,0.02,0.02,0.02,0.09,0.05,0.01,0.07,-0.03,0.00,0.10,0.05,-0.01,0.05,-0.07,-0.03,-0.03,0.05,0.14,0.04,0.07,0.01,-0.02,0.01,0.00,0.04,0.04,0.03,-0.02,0.00,0.02
NELARABINE_Broad,-0.01,-0.04,-0.02,-0.01,-0.04,-0.02,0.00,0.03,-0.03,0.02,-0.02,-0.04,0.02,-0.01,-0.01,0.00,-0.10,0.04,-0.12,0.01,0.00,-0.02,-0.01,-0.02,-0.08,-0.03,-0.04,-0.01,-0.04,-0.02,0.00,-0.02,-0.02
BLEOMYCINA2_Broad,0.03,-0.01,0.11,0.18,0.06,0.01,0.06,0.12,-0.01,0.12,-0.03,-0.01,0.19,0.11,0.18,0.25,-0.06,0.07,0.26,0.32,0.34,0.06,0.05,0.03,-0.06,0.01,0.02,0.03,0.06,0.16,0.03,0.03,0.01
ZEBULARINE_Broad,-0.01,-0.01,0.04,-0.02,-0.12,-0.01,0.00,-0.01,0.00,0.02,0.03,-0.02,0.08,0.02,0.00,0.04,-0.03,0.09,-0.01,0.04,-0.02,-0.02,-0.07,0.05,0.08,0.00,-0.03,0.00,0.17,0.08,0.01,-0.01,-0.01
PF573228_Broad,-0.02,-0.02,0.13,-0.03,-0.02,-0.01,0.09,0.04,0.11,0.10,0.07,0.08,-0.06,-0.12,0.05,0.08,-0.18,-0.28,-0.08,0.02,0.26,0.14,0.11,0.04,0.10,0.08,0.03,0.09,-0.18,-0.13,0.06,0.11,0.14
PAC1_Broad,0.08,0.18,0.03,-0.01,0.01,-0.04,-0.05,0.01,0.04,0.05,0.02,0.00,0.01,0.01,0.06,0.08,0.15,0.20,0.01,0.08,0.22,0.20,0.06,0.15,0.07,0.11,-0.04,0.17,0.02,0.14,0.00,-0.06,0.06
NSC632839HYDROCHLORIDE_Broad,0.23,0.33,0.45,0.54,0.31,0.20,0.42,0.33,0.35,0.38,0.21,0.34,0.37,0.32,0.27,0.35,0.32,0.36,0.29,0.39,0.26,0.30,0.29,0.31,0.34,0.35,0.23,0.35,0.24,0.36,0.32,0.46,0.24
PF184_Broad,-0.01,0.02,0.03,0.00,-0.20,0.00,0.05,0.04,0.02,0.16,0.13,0.17,0.06,0.02,-0.01,0.03,0.04,0.06,0.16,0.18,0.10,0.12,0.11,0.07,0.00,0.01,0.08,-0.02,-0.04,0.25,0.09,0.12,0.07
TRIFLUOPERAZINE_Broad,0.29,0.02,0.13,0.36,0.41,0.04,0.49,0.53,0.29,0.22,0.16,0.36,0.33,0.19,0.34,0.34,0.69,0.64,0.15,0.29,0.21,0.01,0.00,0.14,0.24,0.21,0.24,0.31,0.55,0.71,0.02,0.06,0.19
PARTHENOLIDE_Broad,0.02,-0.05,-0.05,-0.12,-0.13,-0.06,-0.03,0.02,0.02,0.04,-0.05,0.00,0.01,-0.01,0.07,0.08,-0.02,-0.01,-0.09,-0.05,-0.04,-0.08,-0.03,-0.03,-0.08,-0.01,-0.03,-0.03,-0.03,0.03,0.00,-0.06,-0.01
GW843682X_Broad,0.12,0.02,0.02,-0.05,0.17,0.00,0.10,0.10,0.04,0.02,0.06,0.05,0.08,0.05,0.08,0.12,0.15,0.19,0.16,0.14,0.02,0.09,0.01,0.09,0.05,0.09,0.07,0.10,0.14,0.08,0.05,0.04,0.04
GANT61_Broad,0.04,0.02,0.04,0.06,0.40,0.06,0.12,0.11,0.09,0.03,0.06,0.14,-0.01,0.01,0.10,0.08,0.04,0.08,-0.01,0.03,0.09,0.06,0.05,0.07,0.07,0.08,0.10,0.10,-0.10,0.06,0.05,0.05,0.14
BIO_Broad,0.05,0.28,0.05,0.08,-0.10,0.06,0.07,-0.11,0.14,0.00,0.09,0.05,-0.02,-0.03,-0.08,0.16,0.29,0.16,0.10,0.17,0.26,0.14,0.07,0.23,0.24,0.33,-0.04,0.26,-0.18,-0.02,0.04,0.34,0.01
TOSEDOSTAT_Broad,0.17,0.21,0.94,0.37,0.01,-0.02,0.45,0.63,0.13,0.22,0.10,0.25,0.43,0.22,0.25,0.24,0.60,0.42,0.61,0.80,0.24,0.17,0.24,0.37,0.37,0.23,0.24,0.28,0.19,0.21,0.30,0.33,0.31
BETULINICACID_Broad,0.02,-0.02,0.07,-0.02,-0.26,-0.02,0.08,0.01,0.03,0.06,0.03,0.05,-0.08,-0.07,0.01,0.01,-0.01,0.01,0.04,0.05,0.09,0.04,0.04,0.08,0.07,0.03,0.07,0.05,-0.08,-0.01,0.05,0.08,0.03
IU1_Broad,0.04,-0.02,0.08,-0.06,-0.04,-0.02,0.05,-0.01,0.06,0.03,0.04,0.06,-0.05,-0.09,0.00,0.03,0.02,0.00,0.08,-0.03,0.02,0.04,0.04,-0.02,0.10,0.04,0.01,0.03,-0.07,0.06,0.03,0.01,0.05
SMER3_Broad,0.38,0.23,0.36,0.01,0.47,0.03,0.22,0.03,0.05,0.25,0.22,0.09,-0.07,-0.06,0.00,0.01,0.38,0.46,0.34,0.32,0.13,0.39,-0.04,0.34,0.09,0.08,0.10,0.19,-0.11,-0.01,0.46,0.57,0.11
PI103HYDROCHLORIDE_Broad,0.51,0.15,0.04,0.04,0.38,-0.03,0.29,0.19,0.12,0.02,0.10,0.11,0.26,0.11,0.25,0.19,0.55,0.56,0.18,0.28,0.34,0.45,0.06,0.46,0.20,0.35,0.02,0.13,-0.02,0.21,0.21,0.15,0.29
SID26681509_Broad,-0.03,-0.03,0.05,-0.05,-0.05,-0.02,0.10,0.03,0.05,0.01,0.04,0.08,-0.03,-0.08,0.04,0.06,-0.04,-0.01,0.03,0.02,0.02,0.02,0.00,0.03,0.06,0.02,0.03,0.03,-0.10,-0.04,0.01,0.00,0.03
SJ172550_Broad,-0.03,-0.02,0.05,-0.10,-0.14,-0.02,0.05,0.04,0.05,0.03,0.03,0.04,-0.04,-0.07,-0.01,-0.02,-0.05,-0.03,0.01,-0.02,0.03,0.00,-0.01,0.04,0.05,-0.01,0.02,0.02,-0.03,-0.01,0.03,0.03,0.05
NVP231_Broad,0.23,0.09,0.20,0.07,0.05,-0.03,0.12,0.05,0.07,0.08,0.15,0.06,-0.09,-0.11,0.02,0.15,0.60,0.56,0.33,0.29,0.19,0.18,0.06,0.21,0.08,0.05,0.04,0.21,-0.07,0.32,0.04,0.12,0.11
MDIVI1_Broad,-0.02,0.06,0.03,-0.04,-0.36,-0.04,0.10,-0.09,0.11,0.04,0.03,0.03,-0.06,-0.07,-0.05,0.04,0.09,0.11,0.06,0.00,0.05,0.00,0.00,0.02,0.09,0.08,0.02,-0.01,-0.07,-0.05,-0.01,0.04,0.10
LOMEGUATRIB_Broad,-0.05,0.02,0.04,-0.08,-0.19,-0.01,0.06,-0.02,0.02,0.04,0.10,0.08,-0.07,-0.08,0.03,-0.01,-0.05,0.00,-0.01,0.01,0.07,0.02,-0.01,0.02,0.08,0.04,0.06,0.05,-0.08,-0.07,0.01,0.03,0.09
DARINAPARSIN_Broad,-0.04,-0.05,0.13,-0.07,-0.07,-0.03,0.06,0.03,0.00,-0.04,0.08,0.11,-0.06,-0.14,-0.08,-0.04,-0.04,0.00,0.14,0.04,0.02,0.04,0.03,0.13,0.09,0.07,0.01,0.10,-0.05,-0.06,0.08,0.11,0.09
MK1775_Broad,0.03,-0.04,0.38,0.02,0.15,-0.08,0.28,0.13,0.34,0.16,0.17,0.39,0.05,-0.01,0.14,0.30,0.13,-0.16,0.47,0.37,0.59,-0.04,0.36,0.48,0.27,0.44,0.22,0.49,0.56,0.64,0.14,0.13,0.19
IPR456_Broad,-0.01,-0.04,0.10,-0.08,-0.17,-0.04,0.06,-0.06,0.02,0.01,0.03,0.01,-0.08,-0.10,-0.01,-0.01,-0.07,0.04,0.03,0.00,-0.01,-0.02,0.00,0.05,0.04,-0.01,0.02,0.01,-0.04,-0.04,-0.02,0.07,0.03
DBEQ_Broad,0.21,0.15,0.32,-0.05,0.15,-0.04,0.21,0.03,0.23,0.21,0.24,0.33,0.20,0.06,0.18,0.27,0.16,0.27,0.29,0.26,0.28,0.24,0.10,0.27,0.31,0.35,0.06,0.35,0.00,0.29,0.10,0.19,0.18
SR8278_Broad,-0.05,0.00,0.05,0.01,-0.13,0.01,0.09,0.03,0.07,0.06,0.07,0.05,-0.07,-0.10,0.01,0.02,-0.02,-0.04,0.08,-0.02,0.04,0.03,0.01,0.10,0.16,0.07,0.05,0.14,0.08,0.11,-0.01,0.04,0.08
IBET151DIHYDROCHLORIDE_Broad,-0.02,0.11,0.44,0.27,-0.44,0.14,0.15,0.07,0.31,0.14,0.19,0.24,0.10,0.09,-0.01,0.01,-0.89,-0.81,-0.03,0.23,-0.07,0.02,-0.07,0.06,0.16,0.27,-0.06,-0.02,-0.87,-0.36,0.05,0.07,0.03
BMS345541_Broad,0.05,0.09,0.22,0.14,-0.01,0.04,0.13,0.20,0.24,0.12,0.15,0.18,0.08,0.00,-0.03,0.14,0.32,0.07,0.23,0.27,0.29,0.16,0.06,0.19,0.18,0.32,0.17,0.19,0.11,0.22,0.17,0.34,0.08
VU0155056_Broad,-0.02,-0.08,0.07,-0.03,0.10,-0.06,0.05,-0.02,-0.01,0.04,0.02,0.04,-0.07,-0.12,-0.04,0.00,0.25,0.30,0.03,0.01,0.05,-0.02,-0.03,0.04,0.02,-0.01,0.03,0.06,-0.03,0.03,0.07,0.10,0.13
ELOCALCITOL_Broad,0.00,-0.01,0.05,0.02,-0.08,-0.02,-0.09,0.01,-0.03,0.00,0.08,0.07,0.22,0.14,-0.05,0.14,0.11,0.07,0.05,0.08,-0.02,0.03,-0.02,0.09,-0.01,-0.04,-0.15,-0.01,-0.19,-0.19,0.05,0.11,0.17
VORAPAXAR_Broad,-0.07,-0.09,0.07,-0.07,-0.23,-0.03,0.03,0.03,-0.04,-0.01,0.05,0.07,-0.04,-0.10,-0.08,-0.06,0.03,0.05,0.03,-0.03,-0.03,0.01,-0.01,0.01,0.04,0.04,0.03,0.03,-0.07,0.05,0.05,0.10,0.03
RAD51INHIBITORB02_Broad,-0.04,-0.07,0.06,-0.02,-0.08,-0.05,0.03,-0.02,0.04,-0.02,0.03,0.04,-0.04,-0.07,-0.06,-0.06,0.17,0.14,0.06,0.05,-0.01,-0.03,-0.05,0.06,0.03,0.00,0.01,0.03,-0.05,0.01,0.07,0.14,0.03
BRD9647_Broad,0.01,-0.03,0.01,-0.02,-0.17,-0.03,0.09,0.01,0.05,0.06,0.03,0.04,-0.09,-0.07,0.01,0.05,-0.02,0.00,0.10,0.03,0.08,0.04,0.03,-0.03,0.01,0.00,0.05,0.06,-0.06,-0.02,0.04,0.08,0.08
BRD4132_Broad,-0.03,-0.06,0.02,-0.09,-0.12,-0.02,0.06,-0.01,0.01,0.00,0.08,0.02,-0.09,-0.11,0.00,-0.04,0.00,-0.10,0.06,0.05,0.08,-0.02,-0.02,0.06,0.03,0.01,0.04,0.03,-0.11,-0.11,0.01,0.03,0.03
PALMOSTATINB_Broad,-0.04,-0.05,0.03,-0.14,-0.18,-0.04,0.04,0.00,0.03,-0.02,-0.03,0.05,-0.06,-0.11,0.03,-0.04,-0.01,0.01,0.02,-0.07,0.02,-0.01,-0.01,-0.02,0.02,-0.05,0.00,0.02,-0.09,-0.03,-0.01,0.05,0.05
KHCB19_Broad,-0.06,-0.03,0.03,-0.11,-0.16,-0.03,0.06,-0.04,0.03,-0.01,0.06,0.04,-0.06,-0.09,0.01,-0.07,-0.01,-0.05,0.05,-0.07,0.00,-0.02,-0.01,0.04,0.06,0.03,0.00,0.04,-0.05,-0.12,0.00,0.02,0.03
FSC231_Broad,-0.06,-0.07,0.03,-0.11,-0.10,-0.02,0.06,-0.03,-0.04,-0.02,0.04,0.06,-0.04,-0.09,-0.01,-0.06,0.02,-0.04,0.03,-0.05,-0.02,-0.03,-0.02,-0.01,0.03,-0.02,0.03,0.00,-0.13,-0.01,-0.03,0.05,0.05
TIVANTINIB_Broad,0.04,0.03,0.41,0.08,-0.03,0.00,0.20,0.07,0.18,0.16,0.15,0.25,0.10,-0.03,0.07,0.20,0.18,0.14,0.30,0.27,0.22,0.13,0.09,0.29,0.16,0.23,0.19,0.31,0.13,0.13,0.16,0.23,0.13
WAY362450_Broad,-0.11,-0.09,0.05,-0.02,-0.18,-0.05,0.01,-0.05,-0.03,0.00,-0.02,0.05,-0.07,-0.12,-0.05,-0.05,0.14,0.19,0.06,-0.01,0.01,-0.04,-0.06,0.02,0.06,-0.02,0.01,0.02,-0.19,-0.13,0.04,0.09,0.03
BRDK92856060_Broad,0.30,0.19,0.07,-0.02,0.32,0.03,0.11,0.04,0.11,0.18,0.09,0.07,-0.05,-0.04,-0.01,0.03,0.23,0.25,0.14,0.12,0.16,0.24,0.05,0.18,0.09,0.08,0.06,0.11,0.00,-0.03,0.06,0.10,0.15
BRD6340_Broad,-0.03,0.14,0.07,-0.07,-0.20,0.02,0.09,0.05,0.07,0.04,0.05,0.04,-0.04,-0.05,0.01,-0.02,0.03,-0.01,0.08,0.00,0.03,0.02,0.02,0.05,0.03,0.05,0.09,0.08,-0.01,-0.01,0.04,0.04,0.04
ML006_Broad,-0.02,0.02,0.03,-0.02,-0.08,0.01,0.08,0.04,0.06,0.04,0.05,0.02,-0.09,-0.06,0.03,0.01,0.02,0.06,0.05,0.02,0.06,0.08,0.01,0.06,0.03,0.05,0.05,0.03,-0.01,-0.01,0.03,0.06,0.07
BENDAMUSTINEHCL_Broad,-0.07,-0.03,0.02,-0.09,-0.20,-0.03,0.07,-0.05,0.00,0.09,0.02,0.04,-0.04,-0.09,-0.01,-0.02,-0.14,-0.13,-0.06,-0.02,-0.01,-0.02,-0.05,0.02,-0.02,0.01,-0.02,-0.03,-0.20,-0.12,0.01,0.01,0.06
PROCARBAZINEHCL_Broad,-0.09,-0.07,0.04,-0.07,-0.25,-0.03,0.04,-0.01,-0.04,-0.02,0.03,0.01,-0.07,-0.11,-0.03,-0.04,-0.08,-0.05,-0.04,-0.02,-0.02,-0.01,-0.04,0.03,-0.02,0.02,0.02,0.03,-0.11,-0.10,-0.01,0.03,-0.01
FINGOLIMODFTY720HCL_Broad,0.29,0.21,0.15,0.17,0.30,0.26,0.36,0.27,0.29,0.26,0.27,0.37,0.25,0.22,0.26,0.33,0.47,0.47,0.28,0.24,0.30,0.32,0.22,0.37,0.32,0.30,0.29,0.32,0.32,0.34,0.26,0.22,0.25
CICLOPIROX_Broad,0.14,0.24,0.14,0.19,0.12,0.23,0.15,0.13,0.18,0.29,0.15,0.19,0.09,0.09,0.13,0.13,0.20,0.11,0.07,0.18,0.24,0.30,0.20,0.23,0.24,0.24,0.13,0.34,0.26,0.45,0.10,0.16,0.14
DNMDP_Broad,-0.03,-0.04,0.10,-0.01,-0.13,-0.02,0.09,0.01,0.03,-0.03,0.07,0.10,-0.04,-0.10,0.01,-0.05,0.03,0.04,0.05,-0.04,0.02,0.03,0.01,0.02,-0.03,0.02,0.09,0.02,-0.05,0.00,0.01,0.01,0.02
N9ISOPROPYLOLOMOUCINE_Broad,-0.03,0.15,0.03,0.01,-0.07,-0.04,0.10,0.01,0.02,0.04,0.02,0.06,-0.09,-0.08,-0.03,-0.01,-0.06,0.03,0.00,0.03,0.06,0.04,-0.01,0.05,0.04,0.04,0.01,0.03,0.02,-0.04,0.00,0.05,0.18
PITSTOP2_Broad,-0.06,-0.06,0.01,-0.10,-0.16,-0.08,0.04,0.00,-0.01,-0.02,0.01,0.04,-0.12,-0.11,-0.01,-0.06,-0.11,-0.13,-0.04,-0.03,-0.01,-0.02,-0.04,0.01,0.05,-0.05,0.00,-0.02,-0.13,-0.04,-0.03,-0.03,0.03
NECROSTATIN1_Broad,0.00,0.04,0.01,0.01,-0.02,0.04,0.08,-0.01,0.14,0.06,0.05,-0.01,0.01,0.03,0.05,0.10,0.08,0.18,0.03,0.04,0.06,0.06,0.02,0.08,0.14,0.12,0.04,0.06,-0.08,-0.12,0.02,0.04,0.07
TRETINOIN_Broad,-0.03,0.03,0.07,0.00,-0.11,0.00,0.02,0.03,0.06,0.04,0.06,0.01,-0.03,-0.05,0.04,0.02,-0.01,0.03,0.04,0.02,0.04,0.01,0.00,0.07,0.06,0.11,0.00,0.02,-0.05,-0.02,0.00,0.00,0.05
ISOEVODIAMINE_Broad,0.02,0.06,0.08,-0.10,0.02,-0.03,0.07,0.02,0.03,0.06,0.02,0.03,0.02,-0.05,0.07,0.02,0.14,0.15,0.12,0.08,0.08,0.07,-0.02,0.11,0.06,0.03,0.02,0.07,-0.06,0.09,0.04,0.10,0.08
